end_station_name,member_casual,end_lat,end_lng,total_trips
Buckingham Fountain,casual,41.876504316937748,-87.620533707949335,9016
Michigan Ave & Washington St,member,41.88399810420357,-87.624697017990158,8886
Wells St & Hubbard St,casual,41.889917828232271,-87.634287286038173,5293
Rush St & Superior St,member,41.895768249753623,-87.625982732752078,8165
California Ave & Byron St,member,41.9521643787779,-87.69806779716275,1270
Dearborn St & Van Buren St,casual,41.876289600746965,-87.629203625210053,1785
Stetson Ave & South Water St,member,41.886782919642151,-87.622363825648293,4229
Artesian Ave & Hubbard St,member,41.889497667334943,-87.688085968492,1884
St. Louis Ave & Fullerton Ave,casual,41.924826911067164,-87.714470047916322,204
Southport Ave & Wrightwood Ave,member,41.928781035641542,-87.663891831108117,4419
Lake Shore Dr & Monroe St,casual,41.880963392675042,-87.616740035000873,19090
Clark St & Lake St,casual,41.886034835235719,-87.6309012419851,4633
Lake Park Ave & 53rd St,casual,41.799528694001168,-87.586459156992234,2627
Lakeview Ave & Fullerton Pkwy,casual,41.925868732563089,-87.638981744627444,7833
Rush St & Hubbard St,member,41.8901864429639,-87.6262114838903,4728
Western Ave & Winnebago Ave,member,41.915518645208643,-87.6870156235409,4769
Rush St & Cedar St,casual,41.902300038257906,-87.627720803387064,6528
Broadway & Sheridan Rd,member,41.95281981811651,-87.649989729768578,6265
Western Ave & Walton St,member,41.898414367557017,-87.686587299430258,3712
Southport Ave & Wellington Ave,casual,41.935713922441131,-87.66355237732111,2944
Southport Ave & Wellington Ave,member,41.935729477498519,-87.663575603485313,6207
Southport Ave & Clybourn Ave,member,41.920780312941815,-87.663706614962862,3678
Clybourn Ave & Division St,member,41.904603011116521,-87.640560414203108,4093
Kingsbury St & Erie St,member,41.893800702513971,-87.641683512142663,11616
Broadway & Waveland Ave,member,41.949076629612485,-87.648632883912285,10795
Broadway & Cornelia Ave,member,41.945518843363381,-87.646429058324486,11316
Southport Ave & Roscoe St,member,41.943720300299773,-87.6640044578415,8895
Halsted St & Roscoe St,casual,41.943681871690529,-87.648957578152121,6144
Southport Ave & Roscoe St,casual,41.94372823262411,-87.664005011563361,5405
Clark St & Wellington Ave,member,41.93649244910479,-87.647539290717091,10545
Lincoln Park Conservatory,member,41.9239242973002,-87.635824923757511,4886
Wood St & Milwaukee Ave,member,41.907661841991967,-87.67256014460888,6891
Rush St & Cedar St,member,41.902304632388827,-87.62772388904591,8169
Wilton Ave & Diversey Pkwy,member,41.932410446333947,-87.65271194411865,7674
Southport Ave & Wrightwood Ave,casual,41.928779301957192,-87.66389794055047,2725
State St & Kinzie St,casual,41.889185662185689,-87.62780022655808,6509
Clark St & Newport St,member,41.944528309269863,-87.65468446099969,6282
Clark St & Lincoln Ave,casual,41.91569550830944,-87.634607507046837,9768
Halsted St & Willow St,member,41.913866675267244,-87.6487579598845,5426
Sheffield Ave & Waveland Ave,member,41.949374987853425,-87.654516289138982,7286
Clark St & Schreiber Ave,member,41.999265868031,-87.671380509751529,1644
Dearborn Pkwy & Delaware Pl,member,41.89896725557837,-87.629914635400425,12175
Ashland Ave & Grace St,member,41.950686751530881,-87.668692861288619,2504
Sheffield Ave & Wellington Ave,member,41.93627507138,-87.652677664787774,9314
Sheffield Ave & Wellington Ave,casual,41.936278829302452,-87.652675354307576,4879
Elston Ave & Wabansia Ave,member,41.912917868770471,-87.664172873426438,1933
Lincoln Ave & Belmont Ave,member,41.939370386420919,-87.668374779174542,5290
Avers Ave & Belmont Ave,casual,41.9394000239486,-87.723569155568512,856
Lincoln Ave & Diversey Pkwy,member,41.932209447868388,-87.658602339177236,6474
Dayton St & North Ave,member,41.910587724526621,-87.649414297428521,5394
Sheffield Ave & Willow St,casual,41.9137013200943,-87.652851666183068,2757
Clark St & Columbia Ave,member,42.004448434875023,-87.67239172974017,924
Wilton Ave & Belmont Ave,member,41.9401728198811,-87.653025463291613,11101
Ashland Ave & Wellington Ave,member,41.9360726144422,-87.6698003319881,3469
Halsted St & Dickens Ave,member,41.91993583021582,-87.648826742585939,8340
Southport Ave & Waveland Ave,member,41.948160828345692,-87.663930874830413,8354
Southport Ave & Waveland Ave,casual,41.948144364294031,-87.663931440238656,4861
Ashland Ave & Chicago Ave,member,41.895980869327609,-87.667732883612246,4422
Clark St & Montrose Ave,member,41.961585964274065,-87.666043113811853,3065
Racine Ave & Fullerton Ave,member,41.9255786461115,-87.658400533309447,5860
Sheffield Ave & Fullerton Ave,member,41.9256032034748,-87.653701638944128,6395
Damen Ave & Pierce Ave,member,41.909395311927469,-87.677693625646825,9639
Broadway & Barry Ave,casual,41.937603733072663,-87.644099597437176,8270
Broadway & Barry Ave,member,41.937611757402479,-87.644099311297182,15790
Hoyne Ave & Balmoral Ave,casual,41.979860433010487,-87.681918111783688,413
Ravenswood Ave & Lawrence Ave,casual,41.96908277891481,-87.6741943956846,2101
Clark St & Elm St,member,41.902968449730182,-87.631298227186591,20569
Lake Shore Dr & Wellington Ave,member,41.9366971403868,-87.636837039548425,12487
Clark St & Wrightwood Ave,member,41.929534917797824,-87.6431219237635,10756
Burling St (Halsted) & Diversey Pkwy (Temp),casual,41.933127656453955,-87.647761337805164,2758
