day_of_week,member_casual,avg_ride_duration
WED,casual,34.345615474380288
TUES,casual,35.0148638015319
SUN,casual,41.998175211051731
SUN,member,17.395806908348838
MON,member,14.283372494783503
TUES,member,14.241545705183389
THURS,member,14.49563753021852
FRI,member,15.019302916937766
WED,member,14.349864734144598
SAT,member,17.271741038945933
SAT,casual,40.450243411490078
FRI,casual,36.389385618140466
THURS,casual,34.557252412537906
MON,casual,37.323796477893353
