start_station_name,member_casual,start_lat,start_lng,total_trips
Wolcott Ave & Polk St,member,41.871276733366734,-87.673693819253515,6984
Columbus Dr & Randolph St,member,41.8847003220508,-87.619514304988,14388
Wells St & Evergreen Ave,member,41.906716137319776,-87.6348518459928,10427
Damen Ave & Leland Ave,member,41.967096952374135,-87.6790218071129,3496
Southport Ave & Roscoe St,member,41.943725602726452,-87.664012156519874,8607
Clarendon Ave & Gordon Ter,casual,41.957907677598591,-87.649519716190952,3306
Franklin St & Jackson Blvd,member,41.8777167141285,-87.635293101403519,7855
Lake Shore Dr & Diversey Pkwy,casual,41.93258704463328,-87.636423615488582,7767
Lincoln Ave & Belle Plaine Ave,member,41.956006009192485,-87.680209440527079,3198
Clark St & North Ave,member,41.911975448645464,-87.6319428040047,5660
Clark St & Newport St,member,41.944532509061332,-87.654693377125085,5941
Racine Ave & Belmont Ave,casual,41.939730414571947,-87.65886870040984,3660
Federal St & Polk St,member,41.872086576056581,-87.629539227788229,8631
Clark St & Ida B Wells Dr,member,41.875913451095094,-87.6306149128116,3812
Dearborn St & Adams St,casual,41.879304085863396,-87.629777520453146,1571
Pine Grove Ave & Irving Park Rd,member,41.954386973020569,-87.648038794542671,8142
Sheffield Ave & Wellington Ave,member,41.936278126503808,-87.6526696083297,9088
Desplaines St & Kinzie St,member,41.888694073000359,-87.644425241629079,14460
Wells St & Concord Ln,member,41.912114257200827,-87.634685079749488,15114
Oakley Ave & Touhy Ave,casual,42.012336359740253,-87.688240940259732,385
Oakley Ave & Touhy Ave,member,42.012330612820506,-87.688233494230758,260
Ellis Ave & 55th St,member,41.7942985285207,-87.601465814515407,3576
Rush St & Cedar St,member,41.90232157222529,-87.62770765765066,8038
Larrabee St & Armitage Ave,casual,41.918088659052756,-87.643745056474827,2780
Throop St & Taylor St,member,41.86892681113256,-87.659128742599762,1036
Bissell St & Armitage Ave,casual,41.918441265351277,-87.652219254256551,5423
Sawyer Ave & Irving Park Rd,member,41.953598214563449,-87.709315763337472,611
Western Ave & Lunt Ave,member,42.00859829013018,-87.690485327979559,1351
Western Ave & Lunt Ave,casual,42.008598316706262,-87.690480123515457,421
Federal St & Polk St,casual,41.872084081966854,-87.629549649079337,4717
Commercial Ave & 83rd St,casual,41.744613156862741,-87.551205028322443,153
Sheffield Ave & Webster Ave,member,41.921549352518149,-87.653813275434246,7254
LaSalle St & Jackson Blvd,member,41.878165405887685,-87.6318935350317,7360
Clinton St & Madison St,member,41.882198319048975,-87.641086879523755,14083
Michigan Ave & 114th St,casual,41.68701893939393,-87.621157787878786,11
Franklin St & Monroe St,member,41.8802689110148,-87.63521202637537,8537
Clark St & Wrightwood Ave,casual,41.929546647933144,-87.643120643165631,5943
Eastlake Ter & Rogers Ave,member,42.020891180111079,-87.6650689037933,1912
Ogden Ave & Chicago Ave,member,41.8963733793013,-87.654074478634925,5493
Bissell St & Armitage Ave,member,41.918434685107677,-87.652216159941361,9318
Damen Ave & Sunnyside Ave,member,41.963264189939537,-87.679276736668513,1819
State St & Harrison St,casual,41.874051335343175,-87.627710006230544,3317
Lake Park Ave & 35th St,casual,41.831276138603457,-87.608797743650257,2581
Clinton St & Jackson Blvd,member,41.878093319260223,-87.639840076843711,5289
Keystone Ave & Fullerton Ave,member,41.924588331384022,-87.727878492202748,342
Wabash Ave & Wacker Pl,casual,41.886878658375359,-87.626033357275929,7337
Clark St & Elm St,member,41.902961172440975,-87.631322635951449,19887
Campbell Ave & North Ave,member,41.910525615162456,-87.68957102533092,2770
Kingsbury St & Kinzie St,member,41.88918333097098,-87.63850465467381,16262
Dayton St & North Ave,member,41.910587894100296,-87.649414675939113,4993
Morgan St & 31st St,member,41.837797295346228,-87.65113605424726,1189
State St & Randolph St,member,41.884705242914727,-87.627746723445838,7363
Racine Ave & Wrightwood Ave,member,41.928891748502437,-87.658980550870865,3617
McClurg Ct & Illinois St,member,41.890370719779547,-87.617517720956172,8074
Ashland Ave & 63rd St,casual,41.779376718905468,-87.664843557213928,67
Wabash Ave & 16th St,casual,41.8603864492923,-87.625811654070873,2567
Western Ave & Fillmore St,member,41.868585357290492,-87.686244989759487,1774
Western Ave & Fillmore St,casual,41.868578368374564,-87.686242649293291,566
Western Ave & Fillmore St (*),member,41.868598705539362,-87.686201189504374,343
Peoria St & Jackson Blvd,member,41.877628566186331,-87.649592132728358,7429
Michigan Ave & Oak St,member,41.900971568984851,-87.6237735749973,8025
Lake Shore Dr & North Blvd,member,41.911719461872664,-87.626804042623291,13197
Clark St & Grace St,casual,41.950794873969379,-87.659177263177256,4528
Maplewood Ave & Peterson Ave,casual,41.990230725563904,-87.693375344193825,399
Wells St & Elm St,member,41.903199799556575,-87.634350535027721,13456
Broadway & Ridge Ave,member,41.984036738685319,-87.6602766577758,3780
Franklin St & Jackson Blvd,casual,41.877718966966228,-87.635295888896721,4133
Leavitt St & North Ave,member,41.91031309432352,-87.682338656641818,2942
Sheffield Ave & Wellington Ave,casual,41.936276039645726,-87.652663516589328,4742
Ashland Ave & McDowell Ave,member,41.808885580867852,-87.66451557692308,169
Ashland Ave & McDowell Ave,casual,41.808872683486236,-87.664532033639148,109
California Ave & North Ave,casual,41.910431717514122,-87.697194768578868,1534
Mies van der Rohe Way & Chicago Ave,casual,41.896951449504016,-87.621732771891573,3898
Halsted St & Roscoe St,member,41.943678216603239,-87.648955707373375,9462
Lincoln Ave & Sunnyside Ave,member,41.96300609531572,-87.684787541951948,3067
